#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
113	Gifto Gifto	GTO	$76,069,148	$0.142509	533,786,482 *	$12,912,531	-0.04%	2.52%	19.89%
114	Docademic Docademic	MTC	$75,940,481	$0.262076	289,765,370 *	$694,569	-0.49%	-5.02%	-6.97%
115	Electroneum Electroneum	ETN	$75,789,584	$0.010387	7,296,265,075	$473,061	-0.01%	3.12%	6.95%
116	ZenCash ZenCash	ZEN	$73,698,873	$17.64	4,177,886	$485,702	0.09%	1.62%	7.90%
117	Byteball Bytes Byteball Bytes	GBYTE	$73,461,516	$113.73	645,946 *	$77,138	0.13%	-0.63%	1.75%
118	Blocknet Blocknet	BLOCK	$72,845,347	$13.97	5,212,873 *	$53,821	-0.05%	3.50%	-3.17%
119	Nexus Nexus	NXS	$70,137,725	$1.21	58,059,181	$1,497,832	-0.16%	0.93%	0.06%
120	MediShares MediShares	MDS	$68,330,286	$0.067155	1,017,499,234 *	$4,144,090	0.58%	10.86%	36.44%
121	SALT SALT	SALT	$67,390,379	$1.14	59,265,391 *	$2,055,162	0.50%	4.72%	11.93%
122	High Performance Blockchain High Performa...	HPB	$67,085,974	$2.01	33,302,632 *	$7,796,303	-0.57%	-2.10%	11.51%
123	Selfkey Selfkey	KEY	$66,753,174	$0.033110	2,016,075,804 *	$454,734,374	0.74%	25.29%	386.62%
124	BitcoinDark BitcoinDark	BTCD	$66,695,185	$51.75	1,288,862	$38,493	0.11%	8.75%	11.63%
125	Matrix AI Network Matrix AI Net...	MAN	$66,602,933	$0.444020	150,000,000 *	$6,376,207	0.17%	1.29%	10.78%
126	Storj Storj	STORJ	$65,276,741	$0.480727	135,787,539 *	$1,508,510	0.20%	5.14%	7.86%
127	Revain Revain	R	$63,218,198	$0.339062	186,450,000 *	$3,487,726	0.36%	5.47%	-3.41%
128	Civic Civic	CVC	$62,546,963	$0.182512	342,699,966 *	$4,508,194	0.03%	4.14%	12.54%
129	Iconomi Iconomi	ICN	$61,892,638	$0.624188	99,156,976 *	$429,640	0.13%	2.36%	0.99%
130	BnkToTheFuture BnkToTheFuture	BFT	$61,602,583	$0.097783	629,990,099 *	$1,331,189	-0.09%	7.46%	-21.86%
131	Achain Achain	ACT	$61,228,837	$0.113072	541,504,084 *	$12,593,430	0.56%	9.41%	14.56%
132	TokenPay TokenPay	TPAY	$60,578,603	$3.93	15,430,999 *	$751,212	0.23%	4.70%	67.20%
133	Nexo Nexo	NEXO	$60,046,230	$0.107225	560,000,010 *	$944,994	0.03%	5.09%	9.21%
134	SingularityNET SingularityNET	AGI	$59,815,690	$0.110837	539,673,260 *	$1,555,554	0.26%	-0.02%	9.07%
135	SONM SONM	SNM	$59,525,117	$0.165531	359,600,000 *	$1,125,259	-0.29%	4.01%	-0.43%
136	Dragonchain Dragonchain	DRGN	$57,962,082	$0.243107	238,421,940 *	$1,612,191	-0.20%	-4.85%	-32.18%
137	SmartMesh SmartMesh	SMT	$57,682,822	$0.040802	1,413,716,694 *	$1,372,612	-0.17%	-1.49%	20.19%
138	Bluzelle Bluzelle	BLZ	$57,216,082	$0.312653	183,001,786 *	$16,322,292	0.19%	25.35%	46.39%
139	iExec RLC iExec RLC	RLC	$57,203,740	$0.714415	80,070,793 *	$383,547	0.12%	3.94%	-10.60%
140	DeepBrain Chain DeepBrain Chain	DBC	$57,099,891	$0.038067	1,500,000,000 *	$1,032,459	-0.04%	-0.85%	-10.91%
141	CyberVein CyberVein	CVT	$56,156,072	$0.054446	1,031,404,736 *	$437,762	0.06%	1.98%	12.51%
142	Holo Holo	HOT	$54,983,247	$0.000413	133,214,575,156 *	$640,616	0.06%	3.50%	2.96%
143	Nucleus Vision Nucleus Vision	NCASH	$53,672,402	$0.012301	4,363,225,098 *	$1,455,551	-0.06%	-0.82%	-1.47%
144	DEW DEW	DEW	$53,625,267	$0.519400	103,244,553 *	$25,266	-0.35%	-2.49%	16.17%
145	Skycoin Skycoin	SKY	$53,146,932	$5.91	9,000,000 *	$1,334,952	0.04%	-0.71%	3.50%
146	Aragon Aragon	ANT	$53,089,650	$1.88	28,215,645 *	$119,374	0.07%	2.69%	2.89%
147	Ruff Ruff	RUFF	$52,833,894	$0.057316	921,800,000 *	$1,559,488	0.17%	4.63%	11.59%
148	Time New Bank Time New Bank	TNB	$52,050,515	$0.022040	2,361,679,677 *	$3,564,327	-0.36%	6.39%	2.85%
149	Bottos Bottos	BTO	$51,456,526	$0.103228	498,473,628 *	$1,390,921	0.08%	1.64%	6.36%
150	eosDAC eosDAC	EOSDAC	$51,280,565	$0.077609	660,755,177 *	$296,175	-0.31%	-5.92%	-22.61%
151	Request Network Request Network	REQ	$50,587,134	$0.072543	697,341,633 *	$694,736	0.35%	-0.85%	-7.40%
152	Santiment Network Token Santiment Net...	SAN	$50,541,373	$0.806592	62,660,371 *	$1,827,741	0.08%	-4.59%	4.83%
153	Streamr DATAcoin Streamr DATAcoin	DATA	$50,374,201	$0.074391	677,154,514 *	$2,181,952	-0.06%	0.18%	-15.29%
154	All Sports All Sports	SOC	$49,954,146	$0.059163	844,342,863 *	$5,357,040	1.14%	5.25%	22.76%
155	Neblio Neblio	NEBL	$49,871,369	$3.76	13,277,076 *	$1,477,867	-0.06%	0.20%	-0.23%
156	Dai Dai	DAI	$49,805,055	$0.990670	50,274,132 *	$514,112	-0.03%	-0.10%	-0.06%
157	Gnosis Gnosis	GNO	$48,723,552	$44.11	1,104,590 *	$1,030,965	0.06%	3.21%	-2.06%
158	ODEM ODEM	ODE	$47,067,100	$0.264894	177,682,511 *	$254,155	-0.45%	13.85%	28.76%
159	Arcblock Arcblock	ABT	$46,646,841	$0.500521	93,196,613 *	$11,496,933	0.49%	3.46%	-1.13%
160	Quantstamp Quantstamp	QSP	$46,461,370	$0.075264	617,314,171 *	$1,627,793	0.61%	16.49%	19.12%
161	Storiqa Storiqa	STQ	$46,388,138	$0.005780	8,025,845,771 *	$1,226,654	-0.15%	-0.62%	18.61%
162	Cindicator Cindicator	CND	$45,967,739	$0.031790	1,445,976,590 *	$360,880	-0.05%	0.42%	-0.04%
163	Asch Asch	XAS	$45,031,031	$0.482362	93,355,331	$3,085,859	0.05%	-3.80%	-13.27%
164	True Chain True Chain	TRUE	$44,834,457	$0.965246	46,448,735 *	$59,433,705	0.15%	-3.08%	2.48%
165	Groestlcoin Groestlcoin	GRS	$44,771,494	$0.636289	70,363,408	$9,026,185	0.03%	4.92%	9.78%
166	Ambrosus Ambrosus	AMB	$44,032,971	$0.304535	144,590,975 *	$794,505	-0.23%	-3.29%	22.98%
167	Particl Particl	PART	$42,957,155	$4.29	10,021,419 *	$336,038	0.02%	7.02%	2.21%
168	Enjin Coin Enjin Coin	ENJ	$42,883,347	$0.056710	756,192,535 *	$3,202,986	0.08%	0.34%	5.61%
169	Bread Bread	BRD	$42,319,590	$0.478604	88,422,978 *	$1,940,211	0.64%	5.64%	27.10%
170	Dynamic Trading Rights Dynamic Tradi...	DTR	$42,270,012	$0.034703	1,218,054,044 *	$37,262	0.03%	-2.53%	-0.29%
171	GameCredits GameCredits	GAME	$41,182,832	$0.639929	64,355,352	$490,649	0.09%	5.36%	-7.44%
172	Raiden Network Token Raiden Networ...	RDN	$41,035,703	$0.817950	50,168,936 *	$560,745	0.19%	5.78%	7.31%
173	Safe Exchange Coin Safe Exchange...	SAFEX	$40,958,776	$0.026542	1,543,157,590 *	$53,829	-0.25%	7.59%	33.88%
174	THEKEY THEKEY	TKY	$40,261,482	$0.008557	4,704,993,287 *	$404,061	0.40%	12.70%	4.58%
175	Dent Dent	DENT	$40,230,706	$0.003790	10,614,760,961 *	$802,303	0.17%	-1.50%	-5.91%
176	Genaro Network Genaro Network	GNX	$39,968,029	$0.163899	243,857,181	$879,007	0.09%	2.31%	8.68%
177	BOScoin BOScoin	BOS	$39,935,088	$0.089561	445,898,741 *	$44,237	-0.42%	-2.69%	2.36%
178	EDUCare EDUCare	EKT	$39,616,890	$0.088038	450,000,000 *	$460,990	0.08%	-1.99%	-12.07%
179	Ignis Ignis	IGNIS	$39,466,355	$0.051851	761,143,950 *	$264,679	0.09%	-0.32%	-1.03%
180	Odyssey Odyssey	OCN	$39,415,908	$0.008298	4,750,000,000 *	$11,543,471	0.64%	7.76%	12.43%
181	DigitalNote DigitalNote	XDN	$39,402,532	$0.005705	6,906,847,847	$1,642,770	-0.25%	-2.08%	-5.03%
182	CRYPTO20 CRYPTO20	C20	$39,271,605	$0.988830	39,715,231 *	$50,343	0.11%	-0.57%	-1.56%
183	Vertcoin Vertcoin	VTC	$39,099,953	$0.871079	44,886,820	$587,240	-0.01%	1.13%	-2.86%
184	Credits Credits	CS	$38,397,401	$0.277771	138,233,806 *	$1,397,006	0.01%	-0.26%	-7.00%
